"Roster Key","Last_Name","First_Name","Middle_Name","Suffix","Legislator","DOB","Education","PublicService","LegService","Occupation","MilitaryService","URLPicture","PictureText"
488,"Marenco","Julio",,,"Marenco, Julio",,"B.A. Montclair State University (Political Science)<br>
J.D. Seton Hall University School of Law<br>
M.A.S. Fairleigh Dickinson University (Administration/Human Resources)","North Bergen Township Commission 2015-2023, Board of Education 2002-2015; State Parole Board 2010-2024","General Assembly 2024-present",,"U.S. Navy 1990-1994","http://www.njleg.state.nj.us/members/memberphotos/marenco_julio_2024.jpg","Assemblyman Julio Marenco (D)"
449,"Matsikoudis","Michele",,,"Matsikoudis, Michele",,"B.A. Rosemont College (Political Science/Business)","Borough of New Providence Council 2019-21","General Assembly 2022-present, Assistant Minority Conference Leader 2024-present","Director of Business Development, Keller Williams – Sue Adler Team",,"http://www.njleg.state.nj.us/members/memberphotos/matsikoudis_michele_2022_250.jpg","Assemblywoman Michele Matsikoudis (R)"
484,"McCann Stamato","Barbara",,,"McCann Stamato, Barbara",,,"N.J. State Democratic Committee 2017-present; Jersey City Democratic Committee, Chair 2019-present, Member 2012-present; Hudson County Democratic Organization, Vice Chair 2022-present; Office of Assemblyman Louis Manzo, Legislative Aide, 2004-2008; Office of Assemblywoman Caridad Rodriguez, Legislative Aide, 2008-2012; Office of Jersey City Councilman Yousef J. Saleh, City Council Aide, 2020-present; N.J. Commission on the Status of Women, Board Member, 1990-1993","General Assembly 2024-present","Executive Assistant, Spectrum Health Care, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/mccann_stamato_barbara_2024.jpg","Assemblywoman Barbara McCann Stamato (D)"
425,"McClellan","Antwan","L.",,"McClellan, Antwan L.",,"Virginia State University<br>
Old Dominion University<br>
Registered Public Purchasing Specialist","Ocean City Council 2012-20, Ocean City School District Board of Education 2010-12","General Assembly 2020-present, Deputy Minority Leader 2024-present, Republican Whip 2022-2023","Personnel Director/Confidential Assistant/Public Information Officer, Cape May County Sheriff’s Office",,"http://www.njleg.state.nj.us/members/memberphotos/mcclellan_antwan_2020_250.jpg","Assemblyman Antwan L. McClellan (R)"
471,"McCoy","Tennille","R.",,"McCoy, Tennille R.","June 21","B.S. Virginia State University (Public Administration)<br>
Master's in Labor and Employment Relations, Rutgers University<br>
M.B.A. New York University Stern School of Business/London School of Economics/HEC Paris","N.J. Department of Labor and Workforce Development, Assistant Commissioner 2018-2022; Office of the Governor, Employee Relations Coordinator 2002-2010; Hamilton Township Democratic Committee 2010-present","General Assembly 2024-present, Deputy Conference Leader 2025-present","Human Resources Executive/Realtor",,"http://www.njleg.state.nj.us/members/memberphotos/mccoy_tennille_2024.jpg","Assemblywoman Tennille R. McCoy (D)"
341,"McGuckin","Gregory","P.",,"McGuckin, Gregory P.","July 2, 1961","B.A. Providence College (History)<br>
J.D. Seton Hall University School of Law","Township of Toms River Council President 2004-11","General Assembly 2012-present","Attorney, Dasti, Murphy, McGuckin, Ulaky, Koutsouris & Connors",,"http://www.njleg.state.nj.us/members/memberphotos/mcguckin_gregory_2020_250.jpg","Assemblyman Gregory McGuckin (R)"
478,"McKeon","John","F.",,"McKeon, John F.","June 3, 1958","B.A. Muhlenberg College (History)<br>
J.D. Seton Hall University School of Law","Township of West Orange, Mayor 1998-2010, Council 1992-98","Senate 2024-present; General Assembly 2002-2023, Parliamentarian 2022-2023, Deputy Speaker 2010-11, Majority Whip 2008-09, Assistant Majority Leader 2006-07, Assistant Majority Whip 2004-05","Attorney, Hardin, Kundla, McKeon & Poletto, P.A.",,"http://www.njleg.state.nj.us/members/memberphotos/mckeon_color.jpg","Senator John F. McKeon (D)"
483,"McKnight","Angela","V.",,"McKnight, Angela V.","March 10, 1977","B.S. University of Phoenix (Business Management)",,"Senate 2024-present; General Assembly 2016-2023, Deputy Majority Leader 2022-2023","Founder & CEO, AngelaCARES, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/mcknight_color.jpg","Senator Angela V. McKnight (D)"
463,"Miller","Cody","D.",,"Miller, Cody D.","December 12, 1990","A.A.S. Rowan College of South Jersey (History/Political Science)<br>
B.A. Rutgers University–Camden (Political Science)<br>
M.P.A. Rutgers University–Camden","Monroe Township (Gloucester County) Board of Education 2021-2023, President 2022; Monroe Township Councilman (Ward 2) 2019-2020, Councilman at Large 2015-2019, Council President 2016, Council Vice-President 2015, Municipal Alliance Commission 2011-2015, Chair 2012-2014, Parks and Recreation Commission 2010-2015; Rowan College of South Jersey Trustee 2012-2015; Williamstown Fire Company #1, Exempt Firefighter 2014-present","General Assembly 2024-present","Executive Director, Advancement and Foundation, Rowan College of South Jersey",,"http://www.njleg.state.nj.us/members/memberphotos/miller_cody_2024.jpg","Assemblyman Cody D. Miller (D)"
420,"Moen","William","F.","Jr.","Moen, William F.","November 14, 1986","B.A. Rowan University (Political Science)<br>
M.P.A. University of Pennsylvania","New Jersey Ireland Trade Commission 2024-present;
Southern N.J. Office of Senator Cory Booker, Director 2013-20; 
Camden County Board of Chosen Freeholders 2016-19","General Assembly 2020-present, Deputy Majority Leader 2022-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/moen_william_2019_250.jpg","Assemblyman William F. Moen (D)"
491,"Morales","Carmen","Theresa",,"Morales, Carmen Theresa","October 13, 1977","B.A. Montclair State University (Speech Communications)<br>
M.A.S. Fairleigh Dickinson University (Administration)<br>
Ed.S., Completed Doctoral Studies ABD Seton Hall University (Education, Leadership, Management and Policy)","Essex County College Trustee 2017-2023","General Assembly 2024-present","Director of Curriculum and Instruction, Essex County Schools of Technology",,"http://www.njleg.state.nj.us/members/memberphotos/morales_carmen_2024.jpg","Assemblywoman Carmen Theresa Morales (D)"
461,"Moriarty","Paul","D.",,"Moriarty, Paul D.","September 25, 1956","B.A. Temple University (Communications) ","State House Commission 2012-2023; Washington Township (Gloucester Co.), Mayor 2004-08","Senate 2024-present; General Assembly 2006-2023, Deputy Speaker 2018-2023","Media Consultant",,"http://www.njleg.state.nj.us/members/memberphotos/moriarty_color.jpg","Senator Paul D. Moriarty (D)"
485,"Mukherji","Raj",,,"Mukherji, Raj","July 15, 1984","M.P.P. Princeton University<br>
J.D. Seton Hall University School of Law<br>
M.L.A. University of Pennsylvania<br> 
B.A. Thomas Edison State University","Jersey City Housing Authority Chairman/Commissioner 2008-2024; Borough of Carteret Prosecutor 2016-2019; Jersey City Deputy Mayor 2012-2013; Governor's Council on Volunteerism and Community Service 2004-2014; Superior Court of New Jersey Juvenile Conference Committee 2004-2011","Senate 2024-present; General Assembly 2014-2023, Deputy Speaker 2022-2023, Deputy Parliamentarian 2022-2023, Deputy Speaker Pro Tempore 2020-2021, Majority Whip 2018-2019","Lawyer and Investor","U.S. Marine Corps Reserve, Sergeant","http://www.njleg.state.nj.us/members/memberphotos/mukherji_raj_2025.jpg","Senator Raj Mukherji (D)"
397,"Murphy","Carol","A.",,"Murphy, Carol A.",,"Camden County College<br>
Institute for Paralegal Studies, Paralegal Certificate<br>
Purdue University (Arts and Sciences)","Office of Assemblywoman Gabriela M. Mosquera, Director of Policy 2012-17; Office of Senator Linda Greenstein, Chief of Staff 2011; New Jersey Schools Development Authority, Community Relations Manager 2006-11, Communications Officer 2003-06","General Assembly 2018-present, Majority Whip 2022-present, Deputy Majority Leader 2020-2021","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/murphy_carol_2021_250.jpg","Assemblywoman Carol A. Murphy (D)"
314,"Muñoz","Nancy","F.",,"Muñoz, Nancy F.","September 8, 1954","B.S. Skidmore College (Nursing)<br>
M.S. Hunter College (Clinical Nurse Specialist)",,"General Assembly 2009-present, Minority Budget Officer 2024-present, Deputy Minority Leader 2022-2023, Conference Leader 2019-2021, Republican Whip 2017-2019, Deputy Conference Leader 2016-2017, Deputy Republican Leader 2014-15, Deputy Republican Whip 2013, Policy Co-Chair 2012-13","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/munoz_nancy_2020_250.jpg","Assemblywoman Nancy F. Mu&ntilde;oz (R)"
466,"Myhre","Gregory","E.",,"Myhre, Gregory E.",,"B.S. University of Maryland (Geography)<br>
Graduate Certificate, Pennsylvania State University (Geospatial Intelligence)","Stafford Township Mayor 2019-2024, Planning Board Class I Member 2019-2024; Ocean County Natural Lands Trust Fund; Ocean County Republican Committee Member, District 6","General Assembly 2024-present","Regulatory Compliance Officer, Toms River Municipal Utilities Authority; Owner, Independent Technologies LLC",,"http://www.njleg.state.nj.us/members/memberphotos/myrhe_gregory_2024.jpg","Assemblyman Gregory E. Myhre (R)"
394,"O'Scanlon","Declan","J.","Jr.","O'Scanlon, Declan J.","June 9, 1963","B.A. Monmouth University (Psychology)<br>
B.S. Monmouth University (Finance)","Borough of Little Silver Council 1994-2007","Senate 2018-present, Republican Budget Officer 2022-present; General Assembly 2008-2017, Republican Budget Officer 2011-2017, Policy Co-Chair 2010-11, Assistant Republican Whip 2009","Chief Executive Officer, FSD Enterprises L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/oscanlon_declan_2022_250.jpg","Senator Declan Joseph O'Scanlon, Jr. (R)"
453,"Park","Ellen","J.",,"Park, Ellen J.",,"B.A. New York University (Political Science)<br>
J.D. Hofstra University School of Law","Borough of Englewood Cliffs Council 2016-18","General Assembly 2022-present, Parliamentarian 2024-present","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/park_ellen_2024_250.jpg","Assemblywoman Ellen J. Park (D)"
305,"Pennacchio","Joseph",,,"Pennacchio, Joseph","May 27, 1955","B.S. Brooklyn College (Biology)<br>
D.D.S. New York University College of Dentistry","N.J. Economic Development Authority 1998-2001; Morris County Board of Freeholders 1999-2001","Senate 2008-present, Deputy Republican Leader 2022-present, Republican Whip 2017-2021, Assistant Republican Leader 2014-2017, General Assembly 2001-07, Appropriations Officer 2004-07","Dentist",,"http://www.njleg.state.nj.us/members/memberphotos/pennacchio_joseph_2022_250.jpg","Senator Joseph Pennacchio (R)"
469,"Peterpaul","Luanne","M.","Esq.","Peterpaul, Luanne M.",,"B.A. Duquesne University<br>
J.D. Seton Hall University School of Law","City of Long Branch, Municipal Judge 2018-2022; City of Asbury Park, Municipal Judge 2021-2022; Essex County, Assistant County Prosecutor 1984-1987","General Assembly 2024-present","Attorney, Peterpaul Law L.L.P.",,"http://www.njleg.state.nj.us/members/memberphotos/peterpaul_luanne_2024.jpg","Assemblywoman Luanne M. Peterpaul (D)"
320,"Peterson","Erik",,,"Peterson, Erik","March 8, 1966","B.A. North Carolina State University (Business Management)<br>
J.D. Temple University School of Law","Hunterdon County Freeholders 2006-09, Director 2008, Deputy Director 2007","General Assembly 2009-present, Deputy Minority Whip 2024-present, Parliamentarian 2020-2023, Assistant Republican Whip 2014-2019, Policy Co-Chair 2012-13","Attorney, Law Offices of Erik Peterson L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/peterson_erik_2020_250.jpg","Assemblyman Erik Peterson (R)"
