"BillType","BillNumber","SubjectKey","ModDate"
"A",118,"BUS TAXES",11/17/2023 0:00:00
"A",118,"CORPORATIONS",11/17/2023 0:00:00
"A",118,"DISABLED",11/17/2023 0:00:00
"A",118,"INCOME TAX",11/17/2023 0:00:00
"A",118,"VETERANS",11/17/2023 0:00:00
"A",119,"LABOR",11/17/2023 0:00:00
"A",119,"UNEMPL COMP",11/17/2023 0:00:00
"A",120,"STATE DEPTS",11/17/2023 0:00:00
"A",120,"STATE OFFICE",11/17/2023 0:00:00
"A",120,"TEMP DISAB",11/17/2023 0:00:00
"A",120,"UNEMPL COMP",11/17/2023 0:00:00
"A",121,"AVIATION",11/17/2023 0:00:00
"A",121,"CASINOS",11/17/2023 0:00:00
"A",121,"TRANS PLAN",11/17/2023 0:00:00
"A",122,"INTERNET",11/17/2023 0:00:00
"A",122,"STATE GOVT",11/17/2023 0:00:00
"A",123,"PROPERTY TAX",11/17/2023 0:00:00
"A",123,"VETERANS",11/17/2023 0:00:00
"A",124,"INCOME TAX",11/17/2023 0:00:00
"A",124,"TEACHERS",11/17/2023 0:00:00
"A",125,"COUNTIES",11/17/2023 0:00:00
"A",125,"EMER SVCS",11/17/2023 0:00:00
"A",126,"LABOR",11/17/2023 0:00:00
"A",126,"TAXATION",11/17/2023 0:00:00
"A",126,"WAGES",11/17/2023 0:00:00
"A",127,"CHILD ABUSE",11/17/2023 0:00:00
"A",127,"CHILDREN",11/17/2023 0:00:00
"A",127,"SEX OFFEND",11/17/2023 0:00:00
"A",127,"STATE GOVT",11/17/2023 0:00:00
"A",128,"EDUCATION",11/17/2023 0:00:00
"A",128,"INCOME TAX",11/17/2023 0:00:00
"A  ",129,"ANIMAL CRUEL",11/17/2023 0:00:00
"A  ",129,"ANIMALS",11/17/2023 0:00:00
"A",130,"AGRICULTURE",11/17/2023 0:00:00
"A",130,"ECONOMIC DEV",11/17/2023 0:00:00
"A  ",131,"FISH",11/17/2023 0:00:00
"A  ",131,"OPEN SPACE",11/17/2023 0:00:00
"A  ",131,"PUBLIC FEES",11/17/2023 0:00:00
"A  ",131,"VETERANS",11/17/2023 0:00:00
"A  ",132,"ANIMAL CRUEL",11/17/2023 0:00:00
"A  ",132,"CRIM PROCED",11/17/2023 0:00:00
"A  ",132,"CRIMES",11/17/2023 0:00:00
"A",133,"POLICE",11/17/2023 0:00:00
"A",133,"PUB SAFETY",11/17/2023 0:00:00
"A",134,"ENERGY",11/17/2023 0:00:00
"A",135,"EDUCATION",11/17/2023 0:00:00
"A",136,"COMMUNICATIO",11/17/2023 0:00:00
"A",136,"ECONOMIC DEV",11/17/2023 0:00:00
"A",137,"COMMERCE",11/17/2023 0:00:00
"A",138,"HEALTH",11/17/2023 0:00:00
"A",138,"JUDICIARY",11/17/2023 0:00:00
"A",139,"CIVIL SVC",11/20/2023 0:00:00
"A",139,"LOCAL OFFICE",11/20/2023 0:00:00
"A",139,"STATE OFFICE",11/20/2023 0:00:00
"A",140,"AFFORD HOUS",11/20/2023 0:00:00
"A  ",141,"FISH",11/20/2023 0:00:00
"A  ",141,"STATE DEPTS",11/20/2023 0:00:00
"A",142,"LOCAL BUDGET",11/20/2023 0:00:00
"A",142,"SCH BOARDS",11/20/2023 0:00:00
"A  ",143,"AGRICULTURE",11/20/2023 0:00:00
"A  ",143,"FOOD",11/20/2023 0:00:00
"A  ",143,"PROFESSIONS",11/20/2023 0:00:00
"A",144,"FEDERAL REL",11/20/2023 0:00:00
"A",144,"PROPERTY TAX",11/20/2023 0:00:00
"A",144,"WATER SUPPLY",11/20/2023 0:00:00
"A",146,"HIGHLANDS",11/20/2023 0:00:00
"A",146,"STATE DEPTS",11/20/2023 0:00:00
"A",147,"HIGHLANDS",11/20/2023 0:00:00
"A",147,"PROPERTY TAX",11/20/2023 0:00:00
"A  ",148,"AGRICULTURE",11/20/2023 0:00:00
"A  ",148,"INCOME TAX",11/20/2023 0:00:00
"A",150,"STATE OFFICE",11/20/2023 0:00:00
"A",151,"COUNTIES",11/20/2023 0:00:00
"A",151,"SCH BOARDS",11/20/2023 0:00:00
"A",152,"MOTOR VEHICL",11/20/2023 0:00:00
"A",152,"POLLUTION",11/20/2023 0:00:00
"A",153,"CHARITIES",11/20/2023 0:00:00
"A",153,"EMER SVCS",11/20/2023 0:00:00
"A",155,"PROPERTY TAX",11/20/2023 0:00:00
"A",155,"SCH BOARDS",11/20/2023 0:00:00
"A",155,"STATE AID",11/20/2023 0:00:00
"A",156,"CIVIL SVC",11/20/2023 0:00:00
"A",156,"LABOR",11/20/2023 0:00:00
"A",157,"PROPERTY TAX",11/20/2023 0:00:00
"A",158,"HOUSING",11/20/2023 0:00:00
"A",158,"LANDLORD",11/20/2023 0:00:00
"A",159,"ETHICS",11/20/2023 0:00:00
"A",159,"IMMIGRATION",11/20/2023 0:00:00
"A",159,"LOC GOVT",11/20/2023 0:00:00
"A",159,"STATE GOVT",11/20/2023 0:00:00
"A  ",160,"AGRICULTURE",11/20/2023 0:00:00
"A",161,"SPORTS",11/20/2023 0:00:00
"A  ",162,"ANIMALS",11/20/2023 0:00:00
"A",163,"HIGHER ED",11/20/2023 0:00:00
"A",163,"MV REGULATIO",11/20/2023 0:00:00
"A",164,"LABOR",11/20/2023 0:00:00
"A  ",165,"AGRICULTURE",11/20/2023 0:00:00
"A",166,"AGRICULTURE",11/20/2023 0:00:00
"A",166,"FARMLAND",11/20/2023 0:00:00
"A",168,"DISEASE",11/20/2023 0:00:00
"A",168,"EMERG MGMT",11/20/2023 0:00:00
"A",169,"CORRECTIONS",11/20/2023 0:00:00
"A",169,"TEMP DISAB",11/20/2023 0:00:00
"A  ",170,"EMER SVCS",11/20/2023 0:00:00
"A  ",170,"EMERG MGMT",11/20/2023 0:00:00
"A  ",170,"FIREFIGHTERS",11/20/2023 0:00:00
"A",172,"CRIM PROCED",11/20/2023 0:00:00
"A",172,"CRIMES",11/20/2023 0:00:00
"A",172,"SCH FACILITI",11/20/2023 0:00:00
"A",173,"DRUG ABUSE",11/20/2023 0:00:00
"A",173,"HEALTH INSUR",11/20/2023 0:00:00
"A",175,"EMER SVCS",11/20/2023 0:00:00
"A",175,"HUMAN SVCS",11/20/2023 0:00:00
"A",175,"POLICE",11/20/2023 0:00:00
"A",176,"WEAPONS",11/20/2023 0:00:00
"A",177,"ED HEALTH",11/20/2023 0:00:00
"A",177,"EDUCATION",11/20/2023 0:00:00
"A",180,"COMMUNICATIO",11/20/2023 0:00:00
"A",180,"ELECTIONS",11/20/2023 0:00:00
"A",181,"HISTORIC PRE",11/20/2023 0:00:00
"A",182,"ENVIRONMENT",11/20/2023 0:00:00
"A",182,"FISH",11/20/2023 0:00:00
"A",183,"ENERGY",11/20/2023 0:00:00
"A  ",184,"FISH",11/20/2023 0:00:00
"A  ",184,"SPORTS",11/20/2023 0:00:00
"A  ",184,"WEAPONS",11/20/2023 0:00:00
"A",185,"TAXATION",11/20/2023 0:00:00
"A",185,"WASTEWATER",11/20/2023 0:00:00
"A",186,"LOC GOVT",11/20/2023 0:00:00
"A",187,"CURRICULA",11/20/2023 0:00:00
"A",187,"LEGISLATURE",11/20/2023 0:00:00
"A",187,"REGULATORY",11/20/2023 0:00:00
"A",188,"ALCO TAXES",11/20/2023 0:00:00
"A",188,"SCH TRANS",11/20/2023 0:00:00
"A",189,"EDUC FINANCE",11/20/2023 0:00:00
"A",189,"SCH BOARDS",11/20/2023 0:00:00
"A",190,"PUBLIC UTIL",11/20/2023 0:00:00
"A  ",191,"AGRICULTURE",11/20/2023 0:00:00
"A  ",191,"FARMLAND",11/20/2023 0:00:00
"A",192,"CRIMES",11/20/2023 0:00:00
"A",192,"ELECTIONS",11/20/2023 0:00:00
"A",192,"STATE OFFICE",11/20/2023 0:00:00
"A",193,"ECONOMIC DEV",11/20/2023 0:00:00
"A",193,"MUNICIPALITI",11/20/2023 0:00:00
"A",195,"DOMESTIC VIO",11/20/2023 0:00:00
"A",195,"WEAPONS",11/20/2023 0:00:00
"A  ",196,"SALES TAX",11/20/2023 0:00:00
"A",197,"INCOME TAX",1/18/2024 0:00:00
"A",197,"PROPERTY",1/18/2024 0:00:00
"A  ",198,"CRIM PROCED",1/2/2024 0:00:00
"A  ",198,"CRIMES",1/2/2024 0:00:00
"A",199,"COMMISSIONS",11/20/2023 0:00:00
"A",199,"HEALTH",11/20/2023 0:00:00
"A",199,"PENSIONS",11/20/2023 0:00:00
"A",199,"PUB EMP BENE",11/20/2023 0:00:00
"A  ",200,"PROPERTY",11/20/2023 0:00:00
"A  ",201,"FISH",11/20/2023 0:00:00
"A  ",201,"LAND USE",11/20/2023 0:00:00
"A  ",201,"SPORTS",11/20/2023 0:00:00
"A",202,"COUNTIES",11/20/2023 0:00:00
"A",202,"JUDGES",11/20/2023 0:00:00
"A",202,"MUNICIPALITI",11/20/2023 0:00:00
"A",203,"MOTOR VEHICL",11/20/2023 0:00:00
"A",203,"WEAPONS",11/20/2023 0:00:00
"A  ",206,"AGRICULTURE",11/20/2023 0:00:00
"A  ",206,"FARMLAND",11/20/2023 0:00:00
"A  ",206,"PROFESSIONS",11/20/2023 0:00:00
"A",207,"MOTOR VEHICL",11/20/2023 0:00:00
"A",207,"MV REGULATIO",11/20/2023 0:00:00
"A",208,"COMMISSIONS",11/20/2023 0:00:00
"A",208,"HEALTH INSUR",11/20/2023 0:00:00
"A",209,"HIGHWAYS",11/20/2023 0:00:00
"A",209,"PUBLIC UTIL",11/20/2023 0:00:00
"A",209,"TELEVISION",11/20/2023 0:00:00
"A",210,"CRIM PROCED",11/20/2023 0:00:00
"A",210,"CRIMES",11/20/2023 0:00:00
"A",210,"POLICE",11/20/2023 0:00:00
"A",211,"MUNICIPALITI",11/20/2023 0:00:00
"A",211,"SCH BOARDS",11/20/2023 0:00:00
"A",211,"STATE AID",11/20/2023 0:00:00
"A",212,"SUPPL APPROP",11/20/2023 0:00:00
"A",212,"VETERANS",11/20/2023 0:00:00
"A",213,"AFFORD HOUS",11/20/2023 0:00:00
"A",213,"SITE REMED",11/20/2023 0:00:00
"A",214,"COUNTIES",11/20/2023 0:00:00
"A",214,"INSURANCE",11/20/2023 0:00:00
"A",214,"MUNICIPALITI",11/20/2023 0:00:00
"A",215,"AFFORD HOUS",11/20/2023 0:00:00
"A",215,"MUNICIPALITI",11/20/2023 0:00:00
"A",216,"AFFORD HOUS",11/20/2023 0:00:00
"A",216,"MUNICIPALITI",11/20/2023 0:00:00
"A",217,"PROPERTY TAX",11/20/2023 0:00:00
"A",218,"CIVIL SVC",11/20/2023 0:00:00
"A",218,"COMMISSIONS",11/20/2023 0:00:00
"A",220,"TRANS PLAN",11/20/2023 0:00:00
"A",221,"INCOME TAX",11/20/2023 0:00:00
"A",221,"PROPERTY TAX",11/20/2023 0:00:00
"A",222,"POLICE",11/20/2023 0:00:00
"A",222,"WEAPONS",11/20/2023 0:00:00
"A",223,"ELECTIONS",11/20/2023 0:00:00
"A",223,"STATE DEPTS",11/20/2023 0:00:00
"A  ",224,"IMMIGRATION",11/20/2023 0:00:00
"A  ",225,"FISH",11/20/2023 0:00:00
"A  ",225,"PUBLIC FEES",11/20/2023 0:00:00
"A  ",225,"SPORTS",11/20/2023 0:00:00
"A",226,"EDUC FINANCE",11/20/2023 0:00:00
"A",226,"SCH BOARDS",11/20/2023 0:00:00
"A",228,"MOTOR VEHICL",11/20/2023 0:00:00
"A  ",229,"AGRICULTURE",11/20/2023 0:00:00
"A  ",229,"FARMLAND",11/20/2023 0:00:00
"A",231,"EDUC FINANCE",11/20/2023 0:00:00
"A",231,"MV REGULATIO",11/20/2023 0:00:00
"A",231,"VETERANS",11/20/2023 0:00:00
"A",232,"REGULATORY",11/20/2023 0:00:00
"A",232,"STATE GOVT",11/20/2023 0:00:00
"A",234,"CORRECTIONS",11/20/2023 0:00:00
"A",234,"FIREFIGHTERS",11/20/2023 0:00:00
"A",234,"PHARMACEUTIC",11/20/2023 0:00:00
"A",234,"POLICE",11/20/2023 0:00:00
"A",235,"PUBLIC UTIL",11/20/2023 0:00:00
"A",235,"TELEPHONE",11/20/2023 0:00:00
"A",236,"SCH TRANS",11/20/2023 0:00:00
"A",237,"PUB ASSIST",11/20/2023 0:00:00
"A",238,"COURT ADMIN",11/20/2023 0:00:00
"A",238,"MUNICIPALITI",11/20/2023 0:00:00
"A",239,"HIGHER ED",11/20/2023 0:00:00
"A",239,"LOCAL OFFICE",11/20/2023 0:00:00
"A",239,"SCH BOARDS",11/20/2023 0:00:00
"A",239,"STATE OFFICE",11/20/2023 0:00:00
"A",241,"ELECTIONS",11/20/2023 0:00:00
"A",241,"STATE GOVT",11/20/2023 0:00:00
"A",242,"ALCOHOLIC BE",11/20/2023 0:00:00
"A",245,"EDUC FINANCE",11/20/2023 0:00:00
"A",245,"SCH BOARDS",11/20/2023 0:00:00
"A",245,"TAXATION",11/20/2023 0:00:00
"A",249,"ENVIRONMENT",11/20/2023 0:00:00
"A",249,"STATE BUDGT",11/20/2023 0:00:00
"A",250,"LOC GOVT",11/20/2023 0:00:00
"A",250,"PROPERTY TAX",11/20/2023 0:00:00
"A",251,"AFFORD HOUS",11/20/2023 0:00:00
"A",251,"MUNICIPALITI",11/20/2023 0:00:00
"A",252,"PUB RECORDS",11/20/2023 0:00:00
"A",253,"SCI AND TECH",11/20/2023 0:00:00
"A",253,"ST CONTRACTS",11/20/2023 0:00:00
"A",254,"WEAPONS",11/20/2023 0:00:00
"A",258,"CRIMES",11/20/2023 0:00:00
"A",258,"WEAPONS",11/20/2023 0:00:00
"A",259,"AFFORD HOUS",11/20/2023 0:00:00
"A",259,"AGRICULTURE",11/20/2023 0:00:00
"A",260,"INCOME TAX",11/20/2023 0:00:00
"A",260,"VETERANS",11/20/2023 0:00:00
"A",261,"AFFORD HOUS",11/20/2023 0:00:00
"A",261,"VETERANS",11/20/2023 0:00:00
"A",262,"FIREFIGHTERS",5/20/2024 0:00:00
"A",262,"INCOME TAX",5/20/2024 0:00:00
"A",263,"DISABLED",11/20/2023 0:00:00
"A",263,"HIGHER ED",11/20/2023 0:00:00
"A",263,"POLICE",11/20/2023 0:00:00
"A",264,"MV REGULATIO",11/20/2023 0:00:00
"A",265,"DISABLED",11/20/2023 0:00:00
"A",266,"CHILD CUSTOD",11/20/2023 0:00:00
"A",266,"CRIMES",11/20/2023 0:00:00
"A",266,"SEX OFFEND",11/20/2023 0:00:00
"A  ",267,"HEALTH FAC",11/20/2023 0:00:00
"A",268,"MV REGULATIO",11/20/2023 0:00:00
"A  ",269,"SEX OFFEND",11/20/2023 0:00:00
"A",270,"EDUCATION",11/20/2023 0:00:00
"A",270,"HUMAN SVCS",11/20/2023 0:00:00
"A  ",271,"CRIM PROCED",11/20/2023 0:00:00
"A  ",271,"CRIME VICTIM",11/20/2023 0:00:00
"A  ",271,"JUDGES",11/20/2023 0:00:00
"A  ",272,"CRIM PROCED",11/20/2023 0:00:00
"A  ",272,"CRIMES",11/20/2023 0:00:00
"A",273,"BUS TAXES",11/20/2023 0:00:00
"A",273,"CORPORATIONS",11/20/2023 0:00:00
"A",273,"HIGHER ED",11/20/2023 0:00:00
"A",273,"SCI AND TECH",11/20/2023 0:00:00
"A",274,"HEALTH",11/20/2023 0:00:00
"A",274,"PUBLIC TRANS",11/20/2023 0:00:00
"A",275,"MV REGULATIO",11/20/2023 0:00:00
"A",276,"EDUCATION",2/5/2024 0:00:00
"A",276,"MENTAL HEALT",2/5/2024 0:00:00
"A",277,"ELECTIONS",11/20/2023 0:00:00
"A",278,"EDUCATION",11/20/2023 0:00:00
"A",278,"SCH BOARDS",11/20/2023 0:00:00
"A",279,"INTERNET",11/20/2023 0:00:00
"A",279,"SEX OFFEND",11/20/2023 0:00:00
"A",280,"SEX OFFEND",11/20/2023 0:00:00
"A",281,"DISABLED",11/20/2023 0:00:00
"A",282,"LABOR",11/20/2023 0:00:00
"A  ",283,"ANIMALS",11/20/2023 0:00:00
"A  ",283,"INCOME TAX",11/20/2023 0:00:00
"A",284,"DRUG ABUSE",11/20/2023 0:00:00
"A",284,"HUMAN SVCS",11/20/2023 0:00:00
"A",285,"COMMISSIONS",11/20/2023 0:00:00
"A",285,"DISABLED",11/20/2023 0:00:00
"A",285,"VETERANS",11/20/2023 0:00:00
"A",286,"MENTAL HEALT",11/20/2023 0:00:00
"A",286,"VETERANS",11/20/2023 0:00:00
"A  ",287,"ENVIRONMENT",11/20/2023 0:00:00
"A  ",287,"PUBLIC UTIL",11/20/2023 0:00:00
"A",288,"CONSUMER AFF",11/20/2023 0:00:00
"A",288,"STATE DEPTS",11/20/2023 0:00:00
"A",289,"ED HEALTH",11/20/2023 0:00:00
"A",290,"MV REGULATIO",11/20/2023 0:00:00
"A",290,"VETERANS",11/20/2023 0:00:00
"A  ",291,"ANIMAL CRUEL",11/20/2023 0:00:00
"A  ",291,"DOMESTIC VIO",11/20/2023 0:00:00
"A",292,"PROFESSIONS",11/20/2023 0:00:00
"A",292,"VETERANS",11/20/2023 0:00:00
"A",293,"CORPORATIONS",11/20/2023 0:00:00
"A",293,"STATE GOVT",11/20/2023 0:00:00
"A",294,"COMMISSIONS",11/20/2023 0:00:00
"A",294,"DEVEL DISAB",11/20/2023 0:00:00
"A",294,"DISABLED",11/20/2023 0:00:00
"A",295,"DEVEL DISAB",11/20/2023 0:00:00
"A",296,"ANIMAL CRUEL",11/20/2023 0:00:00
"A",296,"MENTAL HEALT",11/20/2023 0:00:00
"A  ",297,"CIVIL ACTION",11/20/2023 0:00:00
"A  ",297,"SR CITIZENS",11/20/2023 0:00:00
"A",298,"DEVEL DISAB",11/20/2023 0:00:00
"A",298,"DISABLED",11/20/2023 0:00:00
"A",298,"EDUCATION",11/20/2023 0:00:00
"A",299,"EDUCATION",11/20/2023 0:00:00
"A",299,"INCOME TAX",11/20/2023 0:00:00
"A",299,"LABOR",11/20/2023 0:00:00
"A",300,"DEVEL DISAB",11/20/2023 0:00:00
"A",300,"HEALTH FAC",11/20/2023 0:00:00
"A",301,"STATE DEPTS",11/20/2023 0:00:00
"A",301,"STATE GOVT",11/20/2023 0:00:00
"A",302,"CRIM PROCED",11/20/2023 0:00:00
"A",302,"CRIMES",11/20/2023 0:00:00
"A",302,"VETERANS",11/20/2023 0:00:00
"A",303,"HIGHWAYS",11/20/2023 0:00:00
"A",303,"STATE DEPTS",11/20/2023 0:00:00
"A",303,"TRANSPORT",11/20/2023 0:00:00
"A  ",304,"CIVIL ACTION",11/20/2023 0:00:00
"A  ",304,"CRIMES",11/20/2023 0:00:00
"A  ",304,"TERRORISM",11/20/2023 0:00:00
"A",305,"DEVEL DISAB",11/20/2023 0:00:00
"A",306,"AFFORD HOUS",11/20/2023 0:00:00
"A",306,"MUNICIPALITI",11/20/2023 0:00:00
"A",307,"INCOME TAX",11/20/2023 0:00:00
"A",307,"INTERSTATE",11/20/2023 0:00:00
"A",307,"TAXATION",11/20/2023 0:00:00
"A",308,"HEALTH",11/20/2023 0:00:00
"A",309,"COMMEMORATIO",11/20/2023 0:00:00
"A",309,"STATE GOVT",11/20/2023 0:00:00
"A  ",310,"ANIMAL CRUEL",11/20/2023 0:00:00
"A  ",310,"HUMAN SVCS",11/20/2023 0:00:00
"A",311,"ED HEALTH",11/20/2023 0:00:00
"A",311,"SCH TRANS",11/20/2023 0:00:00
"A",312,"CRIM PROCED",11/20/2023 0:00:00
"A",312,"CRIMES",11/20/2023 0:00:00
"A",312,"SCH TRANS",11/20/2023 0:00:00
"A",313,"DEVEL DISAB",11/20/2023 0:00:00
"A",313,"JUDICIARY",11/20/2023 0:00:00
"A",314,"DISABLED",11/20/2023 0:00:00
"A",314,"TRANSPORT",11/20/2023 0:00:00
"A",315,"GOVERNOR",11/20/2023 0:00:00
"A",315,"HEALTH",11/20/2023 0:00:00
"A",315,"PUB RECORDS",11/20/2023 0:00:00
"A",316,"ED HEALTH",11/20/2023 0:00:00
"A",317,"GOVERNOR",11/20/2023 0:00:00
"A",317,"LEGISLATURE",11/20/2023 0:00:00
"A",318,"DOMESTIC VIO",11/20/2023 0:00:00
"A",318,"JUDGES",11/20/2023 0:00:00
"A",318,"JUDICIARY",11/20/2023 0:00:00
"A",318,"SEX OFFEND",11/20/2023 0:00:00
"A",319,"BUS TAXES",11/20/2023 0:00:00
"A",320,"PUBLIC TRANS",11/20/2023 0:00:00
"A",320,"VETERANS",11/20/2023 0:00:00
"A",321,"EMER SVCS",11/20/2023 0:00:00
"A",321,"VETERANS",11/20/2023 0:00:00
"A",322,"BUS TAXES",11/20/2023 0:00:00
"A",322,"CORPORATIONS",11/20/2023 0:00:00
"A",323,"MV REGULATIO",11/20/2023 0:00:00
"A",324,"EDUC FINANCE",11/20/2023 0:00:00
"A",324,"HIGHER ED",11/20/2023 0:00:00
"A",325,"CRIM PROCED",11/20/2023 0:00:00
"A",325,"CRIME VICTIM",11/20/2023 0:00:00
"A",325,"CRIMES",11/20/2023 0:00:00
"A",326,"HIGHWAYS",11/20/2023 0:00:00
"A",326,"SR CITIZENS",11/20/2023 0:00:00
"A",327,"WEAPONS",11/20/2023 0:00:00
"A",328,"LOCAL ETHICS",11/20/2023 0:00:00
"A",328,"LOCAL OFFICE",11/20/2023 0:00:00
"A",329,"EDUCATION",11/20/2023 0:00:00
"A",329,"SCH BOARDS",11/20/2023 0:00:00
"A",330,"TEACHERS",11/20/2023 0:00:00
"A",331,"EDUCATION",11/20/2023 0:00:00
"A",332,"TEACHERS",11/20/2023 0:00:00
"A",333,"HIGHER ED",11/20/2023 0:00:00
"A",333,"LABOR",11/20/2023 0:00:00
"A",334,"EDUCATION",11/20/2023 0:00:00
"A",334,"LABOR",11/20/2023 0:00:00
"A  ",335,"FISH",11/20/2023 0:00:00
"A  ",335,"PUBLIC FEES",11/20/2023 0:00:00
"A  ",335,"VETERANS",11/20/2023 0:00:00
"A  ",336,"CHILDREN",11/20/2023 0:00:00
"A  ",336,"INCOME TAX",11/20/2023 0:00:00
"A",337,"ELECTIONS",11/20/2023 0:00:00
"A",338,"ALCO TAXES",11/20/2023 0:00:00
"A",338,"INCOME TAX",11/20/2023 0:00:00
"A",339,"TEACHERS",11/20/2023 0:00:00
"A",340,"BUS TAXES",11/20/2023 0:00:00
"A",340,"INCOME TAX",11/20/2023 0:00:00
"A",340,"LABOR",11/20/2023 0:00:00
"A",341,"ALCOHOLIC BE",11/20/2023 0:00:00
"A",341,"MARIJUANA",11/20/2023 0:00:00
"A",341,"PUB SAFETY",11/20/2023 0:00:00
"A",342,"POLICE",11/20/2023 0:00:00
"A",343,"CRIM PROCED",11/20/2023 0:00:00
"A",343,"CRIMES",11/20/2023 0:00:00
"A",343,"DRUG ABUSE",11/20/2023 0:00:00
"A",344,"ARTS AND CUL",11/20/2023 0:00:00
"A",344,"COMMERCE",11/20/2023 0:00:00
"A",344,"INCOME TAX",11/20/2023 0:00:00
"A",345,"COMMISSIONS",11/20/2023 0:00:00
"A",345,"EDUC FINANCE",11/20/2023 0:00:00
"A",345,"HIGHER ED",11/20/2023 0:00:00
"A",346,"AUTH - STATE",11/20/2023 0:00:00
"A",346,"AVIATION",11/20/2023 0:00:00
"A",346,"WAGES",11/20/2023 0:00:00
"A",347,"EDUC FINANCE",11/20/2023 0:00:00
"A",347,"FIREFIGHTERS",11/20/2023 0:00:00
"A",347,"HIGHER ED",11/20/2023 0:00:00
"A",347,"POLICE",11/20/2023 0:00:00
"A",348,"HIGHER ED",11/20/2023 0:00:00
"A",349,"AVIATION",11/20/2023 0:00:00
"A",349,"SALES TAX",11/20/2023 0:00:00
"A",350,"EDUCATION",11/20/2023 0:00:00
"A",351,"EDUCATION",11/20/2023 0:00:00
"A",352,"EDUC FINANCE",11/20/2023 0:00:00
"A",352,"HIGHER ED",11/20/2023 0:00:00
"A",353,"PENSIONS PUB",11/20/2023 0:00:00
"A",353,"PUB EMP BENE",11/20/2023 0:00:00
"A",354,"JUDICIARY",11/20/2023 0:00:00
"A",354,"POLICE",11/20/2023 0:00:00
"A  ",355,"EMER SVCS",11/22/2023 0:00:00
"A  ",355,"TRAFFIC SAFE",11/22/2023 0:00:00
"A",356,"DRUG ABUSE",11/22/2023 0:00:00
"A",356,"SMOKING",11/22/2023 0:00:00
"A",357,"CONSTR CODES",11/22/2023 0:00:00
"A",357,"ENERGY",11/22/2023 0:00:00
"A",358,"JUDICIARY",11/22/2023 0:00:00
"A",358,"PROFESSIONS",11/22/2023 0:00:00
"A",359,"GOVERNOR",11/22/2023 0:00:00
"A",359,"STATE GOVT",11/22/2023 0:00:00
"A  ",360,"ANIMAL LIC",11/22/2023 0:00:00
"A  ",360,"ANIMALS",11/22/2023 0:00:00
"A",361,"COMMERCE",11/22/2023 0:00:00
"A",362,"DISEASE",11/22/2023 0:00:00
"A",362,"HEALTH FAC",11/22/2023 0:00:00
"A",362,"HEALTH PROF",11/22/2023 0:00:00
"A",363,"ELECTIONS",11/22/2023 0:00:00
"A",364,"ED HEALTH",11/22/2023 0:00:00
"A",364,"HEALTH INSUR",11/22/2023 0:00:00
"A",365,"ANIMAL CRUEL",11/22/2023 0:00:00
"A",366,"CONSUMER AFF",11/22/2023 0:00:00
"A",366,"DRUG ABUSE",11/22/2023 0:00:00
"A",367,"ALCOHOLIC BE",11/22/2023 0:00:00
"A",367,"DISEASE",11/22/2023 0:00:00
"A  ",368,"DISEASE",11/22/2023 0:00:00
"A  ",368,"HEALTH",11/22/2023 0:00:00
"A  ",368,"SR CITIZENS",11/22/2023 0:00:00
"A",369,"ANIMAL CRUEL",11/22/2023 0:00:00
"A",369,"WEAPONS",11/22/2023 0:00:00
"A",370,"ALCOHOLIC BE",11/22/2023 0:00:00
