"CommHouse","Date","Time","Type","Action","LastName","FirstName","MiddleName","Position","Term","Resides_At","ModDate"
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Agu","Diana"," ","to be a member of the New Jersey Advisory Commission on the Status of Women","to replace Deborah Berry-Toon, for the term prescribed by law.","Morristown",12/15/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Agu","Diana"," ","to be a member of the New Jersey Advisory Commission on the Status of Women","to replace Deborah Berry-Toon, for the term prescribed by law.","Morristown",11/20/2025 0:00:00
"S","12/18/2025","01:00 PM","Session","Advise and Consent","Agu","Diana"," ","to be a member of the New Jersey Advisory Commission on the Status of Women","to replace Deborah Berry-Toon, for the term prescribed by law.","Morristown",12/18/2025 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Considered","Agu","Diana"," ","to be a member of the New Jersey Advisory Commission on the Status of Women","to replace Deborah Berry-Toon, for the term prescribed by law.","Morristown",12/11/2025 0:00:00
"SJU","11/18/2024","10:00 AM","Meeting","Considered","Alaya","Flavia"," ","to be a member of the Historic Sites Council","to succeed herself, for the term prescribed by law, currently set to expire March 14, 2027.","Bridgeton",11/12/2024 0:00:00
"S","6/20/2024","12:00 PM","Quorum","Referred To Committee","Alaya","Flavia"," ","to be a member of the Historic Sites Council","to succeed herself, for the term prescribed by law, currently set to expire March 14, 2027.","Bridgeton",6/20/2024 0:00:00
"S","12/19/2024","02:00 PM","Session","Advise and Consent","Alaya","Flavia"," ","to be a member of the Historic Sites Council","to succeed herself, for the term prescribed by law, currently set to expire March 14, 2027.","Bridgeton",12/19/2024 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Reported From Committee","Alaya","Flavia"," ","to be a member of the Historic Sites Council","to succeed herself, for the term prescribed by law, currently set to expire March 14, 2027.","Bridgeton",11/18/2024 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Reported From Committee","Alessandrine","Joseph"," ","to be a member of the New Jersey Historic Trust","to replace Allen Kratz, for the term prescribed by law, currently set to expire August 14, 2026.","Cape May",11/18/2024 0:00:00
"S","12/19/2024","02:00 PM","Session","Advise and Consent","Alessandrine","Joseph"," ","to be a member of the New Jersey Historic Trust","to replace Allen Kratz, for the term prescribed by law, currently set to expire August 14, 2026.","Cape May",12/19/2024 0:00:00
"S","6/13/2024","12:00 PM","Quorum","Referred To Committee","Alessandrine","Joseph"," ","to be a member of the New Jersey Historic Trust","to replace Allen Kratz, for the term prescribed by law, currently set to expire August 14, 2026.","Cape May",6/13/2024 0:00:00
"SJU","11/18/2024","10:00 AM","Meeting","Considered","Alessandrine","Joseph"," ","to be a member of the New Jersey Historic Trust","to replace Allen Kratz, for the term prescribed by law, currently set to expire August 14, 2026.","Cape May",11/12/2024 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Allen","James"," ","to be a member of the College of New Jersey - Board of Trustees","to succeed himself, for the term prescribed by law.","Trenton",1/12/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Allen","James"," ","to be a member of the College of New Jersey - Board of Trustees","to succeed himself, for the term prescribed by law.","Trenton",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Considered","Allen","James"," ","to be a member of the College of New Jersey - Board of Trustees","to succeed himself, for the term prescribed by law.","Trenton",12/30/2025 0:00:00
"S","12/4/2025","12:00 AM","Quorum","Referred To Committee","Allen","James"," ","to be a member of the College of New Jersey - Board of Trustees","to succeed himself, for the term prescribed by law.","Trenton",12/4/2025 0:00:00
"S","5/16/2024","12:00 PM","Quorum","Reported From Committee","Amirata","Ralph","E.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","East Hanover",5/16/2024 0:00:00
"S","5/20/2024","11:00 AM","Session","Advise and Consent","Amirata","Ralph","E.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","East Hanover",5/20/2024 0:00:00
"S","2/5/2024","12:00 PM","Quorum","Referred To Committee","Amirata","Ralph","E.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","East Hanover",2/5/2024 0:00:00
"SJU","5/16/2024","10:00 AM","Meeting","Interviewed","Amirata","Ralph","E.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","East Hanover",5/14/2024 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Amodeo","John"," ","to be a member of the South Jersey Transportation Authority","to succeed himself, for the term prescribed by law.","Margate City",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Amodeo","John"," ","to be a member of the South Jersey Transportation Authority","to succeed himself, for the term prescribed by law.","Margate City",1/12/2026 0:00:00
"S","1/6/2026","12:00 PM","Quorum","Referred To Committee","Amodeo","John"," ","to be a member of the South Jersey Transportation Authority","to succeed himself, for the term prescribed by law.","Margate City",1/6/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Amodeo","John"," ","to be a member of the South Jersey Transportation Authority","to succeed himself, for the term prescribed by law.","Margate City",1/10/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Interviewed","Amoroso","Mary"," ","to be a member of the Highlands Water Protection and Planning Council","to replace Michael Dressler, for the term prescribed by law.","Mahwah",1/10/2026 0:00:00
"S","12/22/2025","01:00 PM","Session","Referred To Committee","Amoroso","Mary"," ","to be a member of the Highlands Water Protection and Planning Council","to replace Michael Dressler, for the term prescribed by law.","Mahwah",12/22/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Amoroso","Mary"," ","to be a member of the Highlands Water Protection and Planning Council","to replace Michael Dressler, for the term prescribed by law.","Mahwah",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Amoroso","Mary"," ","to be a member of the Highlands Water Protection and Planning Council","to replace Michael Dressler, for the term prescribed by law.","Mahwah",1/12/2026 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Anderson","Maria","Emma","to be a member of the State Council on Developmental Disabilities","to replace Stephanie Pratico, for the term prescribed by law.","Prospect Park",11/20/2025 0:00:00
"S","12/19/2024","02:00 PM","Session","Advise and Consent","Andreola Grillo","Julie"," ","to be a member of the Monmouth County Board of Taxation","to replace Sylvia Coiffi, for the term prescribed by law, currently set to expire May 1, 2027.","Asbury Park",12/19/2024 0:00:00
"S","12/16/2024","12:00 PM","Quorum","Reported From Committee","Andreola Grillo","Julie"," ","to be a member of the Monmouth County Board of Taxation","to replace Sylvia Coiffi, for the term prescribed by law, currently set to expire May 1, 2027.","Asbury Park",12/16/2024 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Referred To Committee","Andreola Grillo","Julie"," ","to be a member of the Monmouth County Board of Taxation","to replace Sylvia Coiffi, for the term prescribed by law, currently set to expire May 1, 2027.","Asbury Park",11/18/2024 0:00:00
"SJU","12/16/2024","10:00 AM","Meeting","Considered","Andreola Grillo","Julie"," ","to be a member of the Monmouth County Board of Taxation","to replace Sylvia Coiffi, for the term prescribed by law, currently set to expire May 1, 2027.","Asbury Park",12/9/2024 0:00:00
"S","12/22/2025","01:00 PM","Session","Advise and Consent","Anisfield Vallari","Susan"," ","to be a member of the Ramapo College of New Jersey - Board of Trustees","to succeed herself, for the term prescribed by law.","Upper Saddle River",12/22/2025 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Considered","Anisfield Vallari","Susan"," ","to be a member of the Ramapo College of New Jersey - Board of Trustees","to succeed herself, for the term prescribed by law.","Upper Saddle River",12/11/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Anisfield Vallari","Susan"," ","to be a member of the Ramapo College of New Jersey - Board of Trustees","to succeed herself, for the term prescribed by law.","Upper Saddle River",11/20/2025 0:00:00
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Anisfield Vallari","Susan"," ","to be a member of the Ramapo College of New Jersey - Board of Trustees","to succeed herself, for the term prescribed by law.","Upper Saddle River",12/15/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Reported From Committee","Antoniewicz","Michael"," ","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Edgewater",3/24/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Advise and Consent","Antoniewicz","Michael"," ","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Edgewater",3/24/2025 0:00:00
"S","3/17/2025","12:00 PM","Quorum","Referred To Committee","Antoniewicz","Michael"," ","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Edgewater",3/17/2025 0:00:00
"SJU","3/24/2025","11:00 AM","Meeting","Interviewed","Antoniewicz","Michael"," ","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Edgewater",3/18/2025 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Considered","Aquil","E. Asyah"," ","to be a member of the State Board of Chiropractic Examiners","to replace David Allen, for the term prescribed by law, currently set to expire April 5, 2025.","Newark",12/11/2025 0:00:00
"S","12/18/2025","01:00 PM","Session","Advise and Consent","Aquil","E. Asyah"," ","to be a member of the State Board of Chiropractic Examiners","to replace David Allen, for the term prescribed by law, currently set to expire April 5, 2025.","Newark",12/18/2025 0:00:00
"S","5/16/2024","12:00 PM","Quorum","Referred To Committee","Aquil","E. Asyah"," ","to be a member of the State Board of Chiropractic Examiners","to replace David Allen, for the term prescribed by law, currently set to expire April 5, 2025.","Newark",5/16/2024 0:00:00
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Aquil","E. Asyah"," ","to be a member of the State Board of Chiropractic Examiners","to replace David Allen, for the term prescribed by law, currently set to expire April 5, 2025.","Newark",12/15/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Armand Kushner","Barbara"," ","to be a member of the Rowan University Board of Trustees","to succeed herself, for the term prescribed by law.","Fort Lauderdale, Florida",11/20/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Aromando","Drew"," ","to be a member of the Board of Higher Education Student Assistance Authority","to replace Michael Braden, for the term prescribed by law.","Ortley Beach",11/20/2025 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Aronson","Ted"," ","to be a member of the State Investment Council","to succeed himself, for the term prescribed by law.","Philadelphia, PA",12/8/2025 0:00:00
"S","6/12/2025","12:00 PM","Quorum","Referred To Committee","Ashraf","Imran"," ","to be a member of the Orthotics and Prosthetics Board of Examiners","to replace Charles Markowitz, for the term prescribed by law, currently set to expire on May 16, 2028.","Closter",6/12/2025 0:00:00
"S","6/28/2024","02:00 PM","Session","Referred To Committee","Augostini","Lorraine","M.","to be a Judge of the Superior Court","to succeed herself, for the term prescribed by law, until reaching the age of 70 years.","Sparta",6/28/2024 0:00:00
"S","10/28/2024","02:00 PM","Session","Advise and Consent","Augostini","Lorraine","M.","to be a Judge of the Superior Court","to succeed herself, for the term prescribed by law, until reaching the age of 70 years.","Sparta",10/28/2024 0:00:00
"S","10/24/2024","12:00 PM","Quorum","Reported From Committee","Augostini","Lorraine","M.","to be a Judge of the Superior Court","to succeed herself, for the term prescribed by law, until reaching the age of 70 years.","Sparta",10/24/2024 0:00:00
"SJU","10/24/2024","01:00 PM","Meeting","Interviewed","Augostini","Lorraine","M.","to be a Judge of the Superior Court","to succeed herself, for the term prescribed by law, until reaching the age of 70 years.","Sparta",10/4/2024 0:00:00
"SJU","6/30/2025","10:30 AM","Meeting","Considered","Bacon","Brenda"," ","to be a member of the Rowan University - Board of Trustees","to succeed herself, for the term prescribed by law, currently set to expire June 30, 2027.","Voorhees Township",6/26/2025 0:00:00
"S","5/12/2025","12:00 PM","Quorum","Referred To Committee","Bacon","Brenda"," ","to be a member of the Rowan University - Board of Trustees","to succeed herself, for the term prescribed by law, currently set to expire June 30, 2027.","Voorhees Township",5/12/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Reported From Committee","Bacon","Brenda"," ","to be a member of the Rowan University - Board of Trustees","to succeed herself, for the term prescribed by law, currently set to expire June 30, 2027.","Voorhees Township",6/30/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Advise and Consent","Bacon","Brenda"," ","to be a member of the Rowan University - Board of Trustees","to succeed herself, for the term prescribed by law, currently set to expire June 30, 2027.","Voorhees Township",6/30/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Advise and Consent","Badolato","Michelle","H.","to be a Judge of the Superior Court","to succeed the Honorable Anthony M. Pugliese, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Cherry Hill",6/30/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Reported From Committee","Badolato","Michelle","H.","to be a Judge of the Superior Court","to succeed the Honorable Anthony M. Pugliese, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Cherry Hill",6/30/2025 0:00:00
"S","10/10/2024","12:00 PM","Quorum","Referred To Committee","Badolato","Michelle","H.","to be a Judge of the Superior Court","to succeed the Honorable Anthony M. Pugliese, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Cherry Hill",10/10/2024 0:00:00
"SJU","6/30/2025","10:30 AM","Meeting","Interviewed","Badolato","Michelle","H.","to be a Judge of the Superior Court","to succeed the Honorable Anthony M. Pugliese, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Cherry Hill",6/27/2025 0:00:00
"SJU","2/8/2024","10:00 AM","Meeting","Interviewed","Baker","Peter","J.","to be a Judge of the Superior Court","to succeed The Honorable Carmen Messano, following his retirement, for the term prescribed by law, ending 7 years from date of appointment.","Jersey City",2/7/2024 0:00:00
"S","2/8/2024","12:00 PM","Quorum","Reported From Committee","Baker","Peter","J.","to be a Judge of the Superior Court","to succeed The Honorable Carmen Messano, following his retirement, for the term prescribed by law, ending 7 years from date of appointment.","Jersey City",2/8/2024 0:00:00
"S","2/12/2024","11:00 AM","Session","Advise and Consent","Baker","Peter","J.","to be a Judge of the Superior Court","to succeed The Honorable Carmen Messano, following his retirement, for the term prescribed by law, ending 7 years from date of appointment.","Jersey City",2/12/2024 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Baker","Peter","J.","to be a Judge of the Superior Court","to succeed The Honorable Carmen Messano, following his retirement, for the term prescribed by law, ending 7 years from date of appointment.","Jersey City",1/25/2024 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Referred To Committee","Baldwin","Zoe"," ","to be a member of the Tidelands Resource Council","to replace Charles Schoening, for the term prescribed by law, currently set to expire March 24, 2027.","Neptune",11/18/2024 0:00:00
"S","2/25/2025","01:00 PM","Session","Advise and Consent","Baldwin","Zoe"," ","to be a member of the Tidelands Resource Council","to replace Charles Schoening, for the term prescribed by law, currently set to expire March 24, 2027.","Neptune",2/25/2025 0:00:00
"S","2/20/2025","12:00 PM","Quorum","Reported From Committee","Baldwin","Zoe"," ","to be a member of the Tidelands Resource Council","to replace Charles Schoening, for the term prescribed by law, currently set to expire March 24, 2027.","Neptune",2/20/2025 0:00:00
"SJU","2/20/2025","11:00 AM","Meeting","Considered","Baldwin","Zoe"," ","to be a member of the Tidelands Resource Council","to replace Charles Schoening, for the term prescribed by law, currently set to expire March 24, 2027.","Neptune",2/13/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Ballantyne","John"," ","to be a member of the New Jersey Sports and Exposition Authority","to succeed himself, for the term prescribed by law.","Andover",11/20/2025 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Balmir","Tywannette"," ","to be a member of the New Jersey Housing and Mortgage Finance Agency","to replace Dr. Zenon Christodoulou, for the term prescribed by law, currently set to expire on September 20, 2024.","Roselle",1/25/2024 0:00:00
"S","6/30/2025","11:00 AM","Session","Reported From Committee","Banasiak","Paulina"," ","to be a member of the Casino Reinvestment Development Authority","to succeed herself, for the term prescribed by law, currently set to expire June 18, 2029.","Bordentown City",6/30/2025 0:00:00
"S","6/19/2025","12:00 PM","Quorum","Referred To Committee","Banasiak","Paulina"," ","to be a member of the Casino Reinvestment Development Authority","to succeed herself, for the term prescribed by law, currently set to expire June 18, 2029.","Bordentown City",6/19/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Advise and Consent","Banasiak","Paulina"," ","to be a member of the Casino Reinvestment Development Authority","to succeed herself, for the term prescribed by law, currently set to expire June 18, 2029.","Bordentown City",6/30/2025 0:00:00
"SJU","6/30/2025","10:30 AM","Meeting","Considered","Banasiak","Paulina"," ","to be a member of the Casino Reinvestment Development Authority","to succeed herself, for the term prescribed by law, currently set to expire June 18, 2029.","Bordentown City",6/26/2025 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Interviewed","Baraka","Linda"," ","to be a member of the Board of Directors of University Hospital","to replace Keith Green, for the term prescribed by law.","Newark",1/10/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Baraka","Linda"," ","to be a member of the Board of Directors of University Hospital","to replace Keith Green, for the term prescribed by law.","Newark",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Baraka","Linda"," ","to be a member of the Board of Directors of University Hospital","to replace Keith Green, for the term prescribed by law.","Newark",1/12/2026 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Baraka","Linda"," ","to be a member of the Board of Directors of University Hospital","to replace Keith Green, for the term prescribed by law.","Newark",12/8/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Advise and Consent","Barile","Hillary"," ","to be a member of the State Board of Agriculture","to replace Kurt Alstede, for the term prescribed by law, currently set to expire June 30, 2025, thereafter June 30, 2029.","Shiloh",6/30/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Reported From Committee","Barile","Hillary"," ","to be a member of the State Board of Agriculture","to replace Kurt Alstede, for the term prescribed by law, currently set to expire June 30, 2025, thereafter June 30, 2029.","Shiloh",6/30/2025 0:00:00
"S","3/17/2025","12:00 PM","Quorum","Referred To Committee","Barile","Hillary"," ","to be a member of the State Board of Agriculture","to replace Kurt Alstede, for the term prescribed by law, currently set to expire June 30, 2025, thereafter June 30, 2029.","Shiloh",3/17/2025 0:00:00
"SJU","6/30/2025","10:30 AM","Meeting","Considered","Barile","Hillary"," ","to be a member of the State Board of Agriculture","to replace Kurt Alstede, for the term prescribed by law, currently set to expire June 30, 2025, thereafter June 30, 2029.","Shiloh",6/26/2025 0:00:00
"SJU","6/26/2025","10:00 AM","Meeting","Interviewed","Barnes","Daniel","D.","to be a Judge of the Superior Court","to succeed the Honorable Garry S. Rothstadt, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Wayne",6/24/2025 0:00:00
"S","6/26/2025","12:00 PM","Quorum","Reported From Committee","Barnes","Daniel","D.","to be a Judge of the Superior Court","to succeed the Honorable Garry S. Rothstadt, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Wayne",6/26/2025 0:00:00
"S","5/12/2025","12:00 PM","Quorum","Referred To Committee","Barnes","Daniel","D.","to be a Judge of the Superior Court","to succeed the Honorable Garry S. Rothstadt, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Wayne",5/12/2025 0:00:00
"S","6/30/2025","11:00 AM","Session","Advise and Consent","Barnes","Daniel","D.","to be a Judge of the Superior Court","to succeed the Honorable Garry S. Rothstadt, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Wayne",6/30/2025 0:00:00
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Basralian","Joseph"," ","to be a member of the Highlands Water Protection and Planning Council","to succeed Michael Tfank, for the term prescribed by law, currently set to expire November 15, 2028.","Chatham Township",12/15/2025 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Basralian","Joseph"," ","to be a member of the Highlands Water Protection and Planning Council","to succeed Michael Tfank, for the term prescribed by law, currently set to expire November 15, 2028.","Chatham Township",1/25/2024 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Interviewed","Basralian","Joseph"," ","to be a member of the Highlands Water Protection and Planning Council","to succeed Michael Tfank, for the term prescribed by law, currently set to expire November 15, 2028.","Chatham Township",12/11/2025 0:00:00
"S","12/18/2025","01:00 PM","Session","Advise and Consent","Basralian","Joseph"," ","to be a member of the Highlands Water Protection and Planning Council","to succeed Michael Tfank, for the term prescribed by law, currently set to expire November 15, 2028.","Chatham Township",12/18/2025 0:00:00
"SJU","3/14/2024","10:00 AM","Meeting","Interviewed","Baston","Kaitlan"," ","to be the Commissioner of the Department of Health","to succeed Judith Persichelli, for the term prescribed by law, serving during the term of   office of the appointing Governor.","Philadelphia",3/12/2024 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Baston","Kaitlan"," ","to be the Commissioner of the Department of Health","to succeed Judith Persichelli, for the term prescribed by law, serving during the term of   office of the appointing Governor.","Philadelphia",1/25/2024 0:00:00
"S","3/14/2024","12:00 PM","Quorum","Reported From Committee","Baston","Kaitlan"," ","to be the Commissioner of the Department of Health","to succeed Judith Persichelli, for the term prescribed by law, serving during the term of   office of the appointing Governor.","Philadelphia",3/14/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Advise and Consent","Baston","Kaitlan"," ","to be the Commissioner of the Department of Health","to succeed Judith Persichelli, for the term prescribed by law, serving during the term of   office of the appointing Governor.","Philadelphia",3/18/2024 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Bateman","Christopher"," ","to be a member of the Delaware and Raritan Canal Commission","to replace Bruce Stout, for the term prescribed by law.","Neshanic Station",12/8/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Bateman","Christopher"," ","to be a member of the State Parole Board","to replace Thomas Haaf, for the term prescribed by law.","Neshanic Station",11/20/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Bateman","Christopher"," ","to be a member of the State Parole Board","to replace Thomas Haaf, for the term prescribed by law.","Neshanic Station",1/12/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Bateman","Christopher"," ","to be a member of the State Parole Board","to replace Thomas Haaf, for the term prescribed by law.","Neshanic Station",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Bateman","Christopher"," ","to be a member of the State Parole Board","to replace Thomas Haaf, for the term prescribed by law.","Neshanic Station",12/30/2025 0:00:00
"SJU","5/29/2025","10:00 AM","Meeting","Interviewed","Bauer","Charles","D.","to be a Judge of the Superior Court","to succeed the Honorable James Den Uyl, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Toms River",5/27/2025 0:00:00
"S","6/2/2025","11:00 AM","Session","Advise and Consent","Bauer","Charles","D.","to be a Judge of the Superior Court","to succeed the Honorable James Den Uyl, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Toms River",6/2/2025 0:00:00
"S","5/29/2025","12:00 PM","Quorum","Reported From Committee","Bauer","Charles","D.","to be a Judge of the Superior Court","to succeed the Honorable James Den Uyl, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Toms River",5/29/2025 0:00:00
"S","12/19/2024","02:00 PM","Session","Referred To Committee","Bauer","Charles","D.","to be a Judge of the Superior Court","to succeed the Honorable James Den Uyl, J.S.C., following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Toms River",12/19/2024 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Baynes","Jason"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Paramus",12/8/2025 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Considered","Baynes","Jason"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Paramus",1/6/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Baynes","Jason"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Paramus",1/8/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Baynes","Jason"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Paramus",1/12/2026 0:00:00
"SJU","9/26/2024","01:00 PM","Meeting","Considered","Beck","Jennifer"," ","to be a member of the New Jersey Racing Commission","to replace John Hoffman, for the term prescribed by law, currently set to expire March 18, 2028.","Red Bank",9/19/2024 0:00:00
