"Acronym","Description"
"observ.","observation"
"occup.","occupation, occupational"
"off.","office, officer, official"
"ombuds.","ombudsman"
"org.","organization"
"pa","Pennsylvania"
"penal.","penalty, penalties"
"pol.","political"
"pop.","population"
"pref","preference"
"preg.","pregnancy"
"prem.","premium"
"prescrip.","prescriptions"
"prev.","prevent, prevention"
"priv.","private"
"proc.","procedures"
"prof.","profession, professional"
"prog.","program"
"proh.","prohibit"
"proj.","project"
"prop.","property"
"prot.","protect, protection, protective"
"prov.","provide"
"psych.","psychiatric, psychiatrist, psychologist"
"pub.","public"
"purch.","purchase"
"pymt.","payment"
"qual.","qualify, qualifications, quality"
"rd.","road"
"re.","regarding"
"reg.","regulate, regulation"
"regis.","registration"
"rehab.","rehabilitation"
"reimb.","reimburse, reimbursement"
"rememb.","remembrance"
"reorg.","reorganization"
"rep.","representative"
"req.","require, requirement"
"resid.","residential"
"retir.","retirement"
"rev.","revenue"
"riv.","river"
"rr","railroad"
"rs","Revised Statutes"
"rt.","route"
"s","South"
"s & l","Savings and Loan"
"sch.","school"
"sci.","science"
"sr. cit.","senior citizen"
"ss","Social Security"
"st.","state"
"suppl.","supplement, supplemental"
"svc.","service"
"sys.","system"
"t",
"tech.","technology, technical"
"temp.","temporary"
"tpk.","tpk"
"transp.","transportation"
"twp.","township"
"uncomp.","uncompensated"
"unemp.","unemployment"
"univ.","university"
"util.","utilities"
"veh.","vehicle"
"vet.","veteran"
"viol.","violation, violence"
"voc.","vocational"
"vol.","volunteer"
"w","West"
"w/","with"
"w/in","within"
"w/o","without"
"wk.","week"
"yr.","year"
