"CommHouse","Date","Time","Type","Location","Comments","RevDate","Status","ModDate"
"A","3/20/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/14/2025 12:52:00
"A","3/24/2025","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",3/18/2025 16:09:00
"A","3/4/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",2/28/2024 16:42:00
"A","3/6/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",2/28/2025 13:04:00
"A","3/7/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/4/2024 14:37:00
"A","4/10/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",4/4/2025 13:18:00
"A","4/11/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",4/5/2024 14:43:00
"A","4/15/2024","11:00 AM","Session","Assembly Chambers","Voting Session:",,"Scheduled",4/9/2024 15:01:00
"A","4/4/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",3/28/2024 14:28:00
"A","4/8/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",4/3/2024 17:06:00
"A","5/10/2024","12:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",5/7/2024 13:40:00
"A","5/13/2024","02:00 PM","Session","Assembly Chambers","10:00 AM: Committee Groups (A) and (B) Scheduled to meet
Voting Session:",,"Scheduled",5/10/2024 9:32:00
"A","5/15/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",5/9/2025 14:30:00
"A","5/16/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",5/10/2024 13:27:00
"A","5/2/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",4/26/2024 16:52:00
"A","5/20/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",5/15/2024 12:07:00
"A","5/22/2025","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",5/16/2025 16:07:00
"A","5/5/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",4/30/2025 14:32:00
"A","5/6/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",5/1/2024 12:35:00
"A","5/8/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",5/2/2025 13:05:00
"A","6/12/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",6/6/2025 11:00:00
"A","6/13/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/7/2024 12:03:00
"A","6/16/2025","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",6/11/2025 13:57:00
"A","6/17/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/12/2024 15:26:00
"A","6/19/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/13/2025 14:32:00
"A","6/20/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/14/2024 13:48:00
"A","6/23/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/18/2025 16:05:00
"A","6/24/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/20/2024 9:19:00
"A","6/24/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/20/2025 14:36:00
"A","6/25/2024","01:00 PM","Quorum","Assembly Chambers",,,"Scheduled",6/20/2024 15:48:00
"A","6/25/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/23/2025 12:34:00
"A","6/26/2024","02:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/25/2024 18:15:00
"A","6/26/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/24/2025 12:55:00
"A","6/27/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",6/25/2025 12:56:00
"A","6/28/2024","12:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",6/26/2024 12:31:00
"A","6/3/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",5/29/2024 16:52:00
"A","6/30/2025","11:00 AM","Session","Assembly Chambers","Voting Session:",,"Scheduled",6/25/2025 18:14:00
"A","6/6/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",5/31/2024 12:41:00
"A","7/24/2025","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",7/18/2025 16:43:00
"A","9/12/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (A) Scheduled to meet
2:00 PM: Committee Group (B) Scheduled to meet",,"Scheduled",9/6/2024 13:04:00
"A","9/19/2024","01:00 PM","Quorum","Assembly Chambers","10:00 AM: Committee Group (C) Scheduled to meet
2:00 PM: Committee Group (D) Scheduled to meet",,"Scheduled",9/13/2024 11:42:00
"A","9/23/2024","01:00 PM","Quorum","Assembly Chambers","Committees at the Call of the Speaker",,"Scheduled",9/18/2024 15:45:00
"A","9/26/2024","01:00 PM","Session","Assembly Chambers","Voting Session:",,"Scheduled",9/20/2024 16:36:00
"AAP","1/16/2025","12:00 AM","Meeting",,,,"Not Meeting",1/10/2025 12:13:00
"AAP","1/29/2024","12:00 AM","Meeting",,,,"Not Meeting",1/24/2024 14:24:00
"AAP","1/8/2026","11:30 AM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 1/6/26 - A1457 (2R), A4083 (2R), A4137, A4463 (1R), A4604/S3517, A4860/S2160 (1R), A5012 (1R)/S3906 (2R), A5042 (1R), A5308, A5371 (1R)/S4219 (3R), A5394 (1R)/S3802 (3R), A5636/S3751, A5638/S3754 (1R), A5758, A5870 (1R), A5886 (1R), A5935, A5936,",1/8/2026 0:00:00,"Scheduled",1/8/2026 12:15:00
"AAP","10/17/2024","12:00 AM","Meeting",,,,"Not Meeting",10/11/2024 11:00:00
"AAP","10/24/2024","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 10/22/24 - A4544 and A4970 have been added.
**Revised 10/23/24 - A4220 (ACS/1R), A4684 (1R), and A4751 have been added.
***Revised 10/24/24 - A4999 has been added.",10/24/2024 0:00:00,"Scheduled",10/24/2024 12:17:00
"AAP","11/24/2025","12:00 AM","Meeting",,,,"Not Meeting",11/19/2025 16:50:00
"AAP","12/11/2025","12:00 AM","Meeting",,,,"Not Meeting",12/5/2025 14:58:00
"AAP","12/16/2024","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 12/13/24 - A5116, A5117, A5118 (1R), A5119, A5120, A5121, A5122 (1R), A5123, A5124, A5150, and A5151 have been added.
**Revised 12/16/24 - A4968, A5090, and A5152 have been added.",12/16/2024 0:00:00,"Scheduled",12/16/2024 12:54:00
"AAP","12/18/2025","11:30 AM","Meeting",,"A6295 Karabinchak (pending intro and referral) - Creates regulatory scheme, in line with federal law, on sale of certain hemp-derived cannabinoid products; repeals law concerning intoxicating hemp. ***A2940 added by waiver 12/18/25.",12/17/2025 0:00:00,"Scheduled",12/19/2025 8:54:00
"AAP","12/9/2024","12:00 AM","Meeting",,,,"Not Meeting",12/4/2024 13:56:00
"AAP","2/10/2025","12:00 AM","Meeting",,,,"Not Meeting",2/5/2025 13:32:00
"AAP","2/20/2025","01:30 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 2/19/25 - A1185, A4175 (1R), A5304 and A5305 added.
**Revised 2/20/25 - A5343 added.",2/20/2025 0:00:00,"Scheduled",2/20/2025 14:48:00
"AAP","2/22/2024","12:00 AM","Meeting",,,,"Not Meeting",2/16/2024 12:42:00
"AAP","2/8/2024","11:00 AM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","An individual interested in registering their position with the Committee may fill out the Registration Form located on the New Jersey Legislature Home Page under the applicable Committee heading.",2/6/2024 0:00:00,"Scheduled",2/7/2024 15:07:00
"AAP","3/14/2024","12:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 3/11/2024 - A3946 has been added.
**Revised 3/14/2024 - A3906 and A3939 have been added. A4045 has been removed.",3/14/2024 0:00:00,"Scheduled",3/14/2024 11:30:00
"AAP","3/20/2025","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 3/18/25 - A1825 (ACS), A3732 (1R) and A4944 added. A5264 removed.
**Revised 3/20/25 - A4981 (1R) added.",3/20/2025 0:00:00,"Scheduled",3/20/2025 10:49:00
"AAP","3/6/2025","12:00 AM","Meeting",,,,"Not Meeting",2/28/2025 13:19:00
"AAP","4/11/2024","10:30 AM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ",,,"Scheduled",4/5/2024 14:51:00
"AAP","5/10/2024","12:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ",,,"Scheduled",5/8/2024 10:20:00
"AAP","5/13/2024","12:00 AM","Meeting",,,,"Not Meeting",5/8/2024 12:07:00
"AAP","5/15/2025","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 5/13/25 - A5356 (1R)/S3850 and A5378 added.
**Revised 5/14/25 - A5170, A5264 and A5358 added.",5/14/2025 0:00:00,"Scheduled",5/14/2025 16:33:00
"AAP","5/2/2024","12:00 AM","Meeting",,,,"Not Meeting",4/26/2024 13:59:00
"AAP","5/5/2025","12:00 AM","Meeting",,,,"Not Meeting",4/30/2025 14:12:00
"AAP","6/12/2025","12:00 AM","Meeting",,,,"Not Meeting",7/9/2025 10:38:00
"AAP","6/19/2025","11:00 AM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 6/16/25 - A4875, A5000 (1R), A5075, A5153, A5546, A5687 (1R), A5717 (1R), A5795, A5827, A5847 and A5857 added.
",6/17/2025 0:00:00,"Scheduled",6/17/2025 16:07:00
"AAP","6/24/2024","12:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 6/20/24 - A2076 (1R), A4226 (1R), and S2788 have been added.",6/20/2024 0:00:00,"Scheduled",6/20/2024 16:40:00
"AAP","7/24/2025","12:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","Canceled 7/24/25",,"Canceled",7/24/2025 11:55:00
"AAP","9/12/2024","12:00 AM","Meeting",,,,"Not Meeting",9/6/2024 14:07:00
"AAP","9/23/2024","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton NJ","*Revised 9/20/2024 - A2378 (1R)/S3201 (1R) and A4811 have been added.  A1497 (1R) has been removed.",9/20/2024 0:00:00,"Scheduled",9/20/2024 16:12:00
"ABD","10/29/2024","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ.","The select committee will have its organizational meeting.

",,"Scheduled",10/25/2024 14:51:00
"ABD","11/12/2024","06:00 PM","Meeting",,"The committee will take oral testimony from members of the public on the design of ballots to be used in primary and general elections in this State.",,"Scheduled",11/7/2024 16:04:00
"ABD","11/18/2024","06:00 PM","Meeting","Atlantic County Institute of Technology, 5080 Atlantic Avenue, Mays Landing, NJ 08330","The committee will take oral testimony from members of the public on the design of ballots to be used in primary and general elections in this State.

Registration to testify will be available on site.
",,"Scheduled",11/18/2024 10:00:00
"ABD","11/7/2024","10:00 AM","Meeting",,"Select November 7 on the calendar and click on Assembly Select Committee on Ballot Design for the registration link.  Please check the box ""Do you wish to testify?"" on the Registration Form and make sure your email address is correct.",,"Scheduled",11/6/2024 15:02:00
"ABD","12/12/2024","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","*Revised 12/11/24 - A3226 and A4969 removed.  A5116 added.",12/11/2024 0:00:00,"Scheduled",12/11/2024 17:56:00
"ABD","12/16/2024","10:00 AM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.",,,"Scheduled",12/11/2024 18:09:00
"ABD","12/2/2024","06:00 PM","Meeting",,"The Assembly Select Committee on Ballot Design will meet remotely via Zoom.  The committee will take oral testimony from members of the public, limited to three minutes.",,"Scheduled",12/2/2024 10:01:00
"ABU","1/23/2025","12:00 AM","Meeting",,,,"Not Meeting",1/17/2025 13:33:00
"ABU","10/21/2024","12:00 AM","Meeting",,,,"Not Meeting",10/16/2024 11:54:00
"ABU","12/12/2024","12:00 AM","Meeting",,,,"Not Meeting",12/6/2024 13:40:00
"ABU","12/15/2025","12:00 AM","Meeting",,,,"Not Meeting",12/10/2025 13:32:00
"ABU","12/4/2025","12:00 AM","Meeting",,,,"Not Meeting",11/25/2025 14:32:00
"ABU","2/1/2024","12:00 AM","Meeting",,,,"Not Meeting",1/26/2024 15:07:00
"ABU","2/13/2025","12:00 AM","Meeting",,,,"Not Meeting",2/7/2025 12:35:00
"ABU","3/10/2025","12:00 AM","Meeting",,,,"Not Meeting",3/5/2025 13:07:00
"ABU","3/4/2024","12:00 AM","Meeting",,,,"Not Meeting",2/28/2024 16:39:00
"ABU","5/16/2024","12:00 AM","Meeting",,,,"Not Meeting",5/10/2024 14:15:00
"ABU","6/16/2025","12:00 AM","Meeting",,,,"Not Meeting",6/11/2025 14:06:00
"ABU","6/26/2024","04:30 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","*Revised 6/26/24 - A1128, A1677, A2027, A2818 (ACS/1R), A2890, A3540 (ACS/1R)/S2344, A4029, A4425, A4426, A4448, A4461, A4570, A4572, A4581, A4597, A4654, A4700 A4701, A4702, A4703, A4704, A4705, A4706, A4707, A4708, A4709 & ACR139 have been added.
",6/26/2024 0:00:00,"Scheduled",6/26/2024 21:16:00
"ABU","6/26/2025","01:00 PM","Meeting","Committee Room 11, 4th Floor, State House Annex, NJ","A5800 (Pintor Marin), A5807 (Pintor Marin), A5801 (Freiman), A5809 (Murphy), A5812 (Schaer) are all pending intro and referral.
*Revised 6/25/25 - A5049 (1R), A5548, A5688, A5768, A5854, A5877 and A5878 added. **Revised 6/26/25 - A5153 and A5827 added.",6/26/2025 0:00:00,"Scheduled",6/26/2025 19:00:00
"ABU","6/27/2025","08:00 PM","Meeting","Committee Room 11, 4th  Floor, State House Annex, Trenton, NJ","*Revised 6/27/25 - A2090, A4194 (1R)/S3041 (2R), A5768 (1R), A5810 and A5902 added.",6/27/2025 0:00:00,"Scheduled",6/27/2025 18:45:00
"ABU","6/6/2024","12:00 AM","Meeting",,,,"Not Meeting",5/31/2024 13:20:00
"ABU","9/19/2024","12:00 AM","Meeting",,,,"Not Meeting",9/13/2024 13:18:00
"ABUB","3/11/2024","09:30 AM","Hearing","Committee Room 11, 4th Floor, State House Anex, Trenton, NJ","The Assembly Budget Committee will hold a Public Hearing on the FY 2025 State Budget.",,"Scheduled",2/28/2024 12:38:00
"ABUB","3/19/2025","09:30 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, NJ","The Assembly Budget Committee will hold a Public Hearing on the FY 2026 State Budget.",,"Scheduled",3/7/2025 16:48:00
"ABUB","3/20/2024","09:30 AM","Hearing","Committee Room 11, 4th Floor. State House Annex, Trenton, NJ","The Assembly Budget Committee will hold a Public Hearing on the FY 2025 State Budget.",,"Scheduled",2/28/2024 12:39:00
"ABUB","3/25/2024","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget: Budget Overview and Revenue Forecast (Office of Legislative Services)",,"Scheduled",3/7/2024 17:15:00
"ABUB","3/25/2024","11:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget: Budget Overview (State Treasurer)",,"Scheduled",3/7/2024 17:15:00
"ABUB","3/25/2025","09:30 AM","Hearing","Committee Room 11, 4th Floor, State House Annex,Trenton, NJ","The Assembly Budget Committee will hold a Public Hearing on the FY 2026 State Budget.",,"Scheduled",3/7/2025 16:48:00
"ABUB","4/10/2024","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Military and Veterans' Affairs",,"Scheduled",4/10/2024 12:27:00
"ABUB","4/10/2024","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Education/Schools Development Authority",,"Scheduled",3/7/2024 17:18:00
"ABUB","4/15/2024","12:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Transportation/New Jersey Transit/Motor Vehicle Commission
",,"Scheduled",4/10/2024 12:28:00
"ABUB","4/17/2024","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Law and Public Safety",,"Scheduled",3/7/2024 17:20:00
"ABUB","4/17/2024","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.
","Hearing on the FY 2025 Budget:  Department of Health",,"Scheduled",3/7/2024 17:19:00
"ABUB","4/2/2025","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Budget Overview and Revenue Forecast (Office of Legislative Services)",,"Scheduled",3/20/2025 14:16:00
"ABUB","4/2/2025","11:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Budget Overview (State Treasurer)",,"Scheduled",3/20/2025 15:05:00
"ABUB","4/21/2025","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing o nthe FY 2026 Budget:  Department of Community Affairs",,"Scheduled",3/20/2025 14:18:00
"ABUB","4/21/2025","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Department of Education/Schools Development Authority",,"Scheduled",3/20/2025 14:18:00
"ABUB","4/22/2024","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Labor and Workforce Development",,"Scheduled",3/7/2024 17:20:00
"ABUB","4/22/2024","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2025 Budget:  Department of Children and Families",,"Scheduled",3/7/2024 17:20:00
"ABUB","4/28/2025","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Department of Military and Veterans' Affairs",,"Scheduled",3/20/2025 14:19:00
"ABUB","4/28/2025","10:00 AM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Department of Corrections/State Parole Board",,"Scheduled",3/20/2025 14:18:00
"ABUB","4/30/2025","01:00 PM","Hearing","Committee Room 11, 4th Floor, State House Annex, Trenton, New Jersey.","Hearing on the FY 2026 Budget:  Department of Children and Families",,"Scheduled",3/20/2025 14:19:00
